LINK,NAME,PARTY,STATE
https://www.india.gov.in/directory/whos-who/mla/sri-gorantla-butchaiah-choudary-171255862912113,Sri Gorantla Butchaiah Choudary,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-gouthu-sireesha-171255862971113,Smt. Gouthu Sireesha,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-galla-madhavi-171255862931439,Smt. Galla Madhavi,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/dr-dola-sree-bala-veeranjaneya-swamy-171255862897385,Dr. Dola Sree Bala Veeranjaneya Swamy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-gowru-charitha-reddy-171255863003154,Smt. Gowru Charitha Reddy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-ganta-srinivasa-rao-171255862834938,Sri Ganta Srinivasa Rao,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sh-talem-taboh-171275715762406,Sh. TALEM TABOH,Janata Dal,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-tana-hali-tara-171275715756725,Shri. TANA HALI TARA,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/sh-ojing-tasing-171275715703124,Sh. OJING TASING,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/er-tage-taki-171275715744422,Er. TAGE TAKI,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-rode-bui-171275715750914,Shri. RODE BUI,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-phurpa-tsering-171275715605671,Shri. PHURPA TSERING,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-tarin-dakpe-171275715788314,Shri. TARIN DAKPE,National People's Party,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/sh-tapuk-taku-171275715814523,Sh. TAPUK TAKU,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-nyato-dukam-171275715677346,Shri. NYATO DUKAM,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/er-tania-soki-171275715801419,Er. TANIA SOKI,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/er-tumke-bagra-171275715781732,Er. Tumke Bagra,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-tsering-tashi-171275715656487,Shri. TSERING TASHI,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/er-taba-tedir-171275715715848,Er. Taba Tedir,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-somlung-mossang-171275715709737,Shri. SOMLUNG MOSSANG,INDEPENDENT,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-tanpho-wangnaw-171275715722761,Shri. TANPHO WANGNAW,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-techi-kaso-171275715794927,Shri. TECHI KASO,Janata Dal (Socialist),Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-pasang-dorjee-sona-171275715732279,Shri. Pasang Dorjee Sona,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-phosum-khimhun-171275715695821,Shri. PHOSUM KHIMHUN,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-pema-khandu-171275715685571,Shri. Pema Khandu,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-tesam-pongte-171275715767896,Shri. Tesam Pongte,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-wanglam-sawin-171275715807490,Shri. WANGLAM SAWIN,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-wangki-lowang-171275715774278,Shri. Wangki Lowang,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-wanglin-lowangdong-171275715820715,Shri. WANGLIN LOWANGDONG,INDIAN NATIONAL CONGRESS,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-chau-zingnu-namchoom-171269187310080,Shri. CHAU ZINGNU NAMCHOOM,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/sh-balo-raja-171269187397905,Sh. BALO RAJA,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-alo-libang-171269187481772,Shri. Alo Libang,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-dorjee-wangdi-kharma-171269187458859,Shri. DORJEE WANGDI KHARMA,Janata Dal,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/sh-gokar-basar-171269187442809,Sh. GOKAR BASAR,National People's Party,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-chowna-mein-171269187391533,Shri. Chowna Mein,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-dongru-siongju-171269187429725,Shri. DONGRU SIONGJU,Janata Dal,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/shri-karikho-kri-171269187513963,Shri. KARIKHO KRI,INDEPENDENT,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/sh-bamang-felix-171269187376805,Sh. Bamang Felix,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/sh-hayang-mangfi-171269187356507,Sh. HAYANG MANGFI,Janata Dal,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/sh-biyuram-wahge-171269187423313,Sh. BIYURAM WAHGE,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-dasanglu-pul-171269187470201,Smt. DASANGLU PUL,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/mr-gabriel-dwangsu-171269187464791,Mr. GABRIEL D.WANGSU,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-chakat-aboh-171269187475491,Smt. Chakat Aboh,INDEPENDENT,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-gum-tayeng-171269187416921,Smt. Gum Tayeng,BHARATIYA JANATA PARTY,Arunachal Pradesh
https://www.india.gov.in/directory/whos-who/mla/sh-honchun-ngandam-171269187384900,Sh. Honchun Ngandam,BHARATIYA JANATA PARTY,Arunachal Pradesh
