SI.NO,NAME,PARTY,Constituency,state/union territory
344,"Rai, Shri Rajeev",SP,Ghosi,Uttar Pradesh
345,"Rajbhar, Shri Ramashankar  Vidharthi",SP,Salempur,Uttar Pradesh
346,"Rajender, Shri Eatala",BJP,Malkajgiri,Telangana
347,"Rajenimbalkar, Shri Omprakash Bhupalsinh Alias Pavan",SHSUBT,Osmanabad,Maharashtra
348,"Rajput, Shri Mukesh",BJP,Farrukhabad,Uttar Pradesh
349,"Rajsinh, Shri Mohite Patil Dhairyasheel",NCPSP,Madha,Maharashtra
350,"Ram, Shri Amra",CPI(M),Sikar,Rajasthan
351,"Ram, Shri Vishnu Dayal",BJP,Palamu (SC),Jharkhand
352,"Ramesh, Dr. C M",BJP,Anakapalle,Andhra Pradesh
353,"Ranaut, Ms Kangna",BJP,Mandi,Himachal Pradesh
354,"Randhawa, Shri Sukhjinder Singh",INC,Gurdaspur,Punjab
355,"Rane, Shri Narayan Tatu",BJP,Ratnagiri-Sindhudurg,Maharashtra
356,"Rani, Dr. Gumma Thanuja",YSR Congress Party,Araku (ST),Andhra Pradesh
357,"Ranjan, Shri Rajesh",Ind.,Purnia,Bihar
358,"Rao, Shri Daggumalla Prasada",TDP,Chittoor (SC),Andhra Pradesh
359,"Rao, Shri Madhavaneni Raghunandan",BJP,Medak,Telangana
360,"Rathiya, Shri Radheshyam",BJP,Raigarh (ST),Chhattisgarh
361,"Rathor, Shri Rakesh",INC,Sitapur,Uttar Pradesh
362,"Rathva, Shri Jashubhai Bhilubhai",BJP,Chhota Udaipur (ST),Gujarat
363,"Ravi, Dr. Mallu",INC,Nagarkurnool (SC),Telangana
364,"Rawat, Dr. Manna Lal",BJP,Udaipur (ST),Rajasthan
365,"Rawat, Shri Ashok Kumar",BJP,Misrikh (SC),Uttar Pradesh
366,"Rawat, Shri Trivendra Singh",BJP,Hardwar,Uttarakhand
367,"Ray, Prof. Sougata",AITC,Dum Dum,West Bengal
368,"Ray, Shri Bishnu Pada",BJP,Andaman and Nicobar Islands,Andaman and Nicobar Islands
369,"Ray, Smt. Sandhya",BJP,Bhind (SC),Madhya Pradesh
370,"Reddy, Shri Chamala Kiran Kumar",INC,Bhongir,Telangana
371,"Reddy, Shri G Kishan",BJP,Secunderabad,Telangana
372,"Reddy, Shri Konda Vishweshwar",BJP,Chevella,Telangana
373,"Reddy, Shri Magunta Sreenivasulu",TDP,Ongole,Andhra Pradesh
374,"Reddy, Shri P V Midhun",YSR Congress Party,Rajampet,Andhra Pradesh
375,"Reddy, Shri Ramasahayam Raghuram",INC,Khammam,Telangana
376,"Reddy, Shri Y S Avinash",YSR Congress Party,Kadapa,Andhra Pradesh
377,"Rehman, Shri Zia Ur",SP,Sambhal,Uttar Pradesh
378,"Rijiju, Shri Kiren",BJP,Arunachal West,Arunachal Pradesh
379,"Roat, Shri Rajkumar",BAP,Banswara (ST),Rajasthan
380,"Roy, Dr. Jayanta Kumar",BJP,Jalpaiguri (SC),West Bengal
381,"Roy, Smt. Mala",AITC,Kolkata Dakshin,West Bengal
382,"Roy, Smt. Satabdi",AITC,Birbhum,West Bengal
383,"Rudy, Shri Rajiv Pratap",BJP,Saran,Bihar
384,"Rupala, Shri Parshottambhai",BJP,Rajkot,Gujarat
385,"S, Shri Matheswaran V",DMK,Namakkal,Tamil Nadu
386,"S, Shri Murasoli",DMK,Thanjavur,Tamil Nadu
387,"Sagar, Shri Arun Kumar",BJP,Shahjahanpur (SC),Uttar Pradesh
388,"Sahu, Shri Bunty Vivek",BJP,Chhindwara,Madhya Pradesh
389,"Sahu, Shri Tokhan",BJP,Bilaspur,Chhattisgarh
390,"Saikia, Shri Dilip",BJP,Darrang Udalguri,Assam
391,"Sakshi, Dr. Swami Sachidanand Hari",BJP,Unnao,Uttar Pradesh
392,"Samadani, Dr. M P Abdussamad",IUML,Ponnani,Kerala
393,"Sangma, Shri Saleng A",INC,Tura (ST),Meghalaya
394,"Sangwan, Dr. Rajkumar",RLD,Baghpat,Uttar Pradesh
395,"Sarangi, Shri Pratap Chandra",BJP,Balasore,Odisha
396,"Sarangi, Smt. Aparajita",BJP,Bhubaneswar,Odisha
397,"Sarkar, Dr. Sharmila",AITC,Bardhaman Purba (SC),West Bengal
398,"Sarkar, Shri Jagannath",BJP,Ranaghat (SC),West Bengal
399,"Saroj, Adv Priya",SP,Machhlishahr (SC),Uttar Pradesh
400,"Saroj, Shri Daroga Prasad",SP,Lalganj (SC),Uttar Pradesh
401,"Saroj, Shri Pushpendra",SP,Kaushambi (SC),Uttar Pradesh
402,"Savara, Dr. Hemant Vishnu",BJP,Palghar (ST),Maharashtra
403,"Sawant, Shri Arvind Ganpat",SHSUBT,Mumbai South,Maharashtra
404,"Sayeed, Shri Muhammed Hamdullah",INC,Lakshadweep (ST),Lakshadweep
405,"Scindia, Shri Jyotiraditya M",BJP,Guna,Madhya Pradesh
406,"Sehrawat, Smt. Kamaljeet",BJP,West Delhi,NCT of Delhi
407,"Selvaganapathi T.M., Shri",DMK,Salem,Tamil Nadu
408,"Senthil, Shri Sasikanth",INC,Tiruvallur (SC),Tamil Nadu
409,"Seth, Shri Sanjay",BJP,Ranchi,Jharkhand
410,"Sethi, Shri Avimanyu",BJP,Bhadrak (SC),Odisha
411,"Shabari, Dr. Byreddy",TDP,Nandyal,Andhra Pradesh
412,"Shah, Shri Amit",BJP,Gandhinagar,Gujarat
413,"Shah, Smt. Mala Rajya Laxmi",BJP,Tehri Garhwal,Uttarakhand
414,"Shakya, Shri Devesh",SP,Etah,Uttar Pradesh
415,"Sharma, Dr. Mahesh",BJP,Gautam Buddha Nagar,Uttar Pradesh
416,"Sharma, Shri Alok",BJP,Bhopal,Madhya Pradesh
417,"Sharma, Shri Anurag",BJP,Jhansi,Uttar Pradesh
418,"Sharma, Shri Vishnu Datt",BJP,Khajuraho,Madhya Pradesh
419,"Sharma, Smt. Manju",BJP,Jaipur,Rajasthan
420,"Sheikh, Shri Abdul Rashid",Ind.,Baramulla,Jammu and Kashmir
421,"Shekhar, Adv. Chandra",ASP (KR),Nagina (SC),Uttar Pradesh
422,"Shekhawat, Shri Gajendra Singh",BJP,Jodhpur,Rajasthan
423,"Shetkar, Shri Suresh Kumar",INC,Zahirabad,Telangana
424,"Shettar, Shri Jagadish",BJP,Belgaum,Karnataka
425,"Shihora, Shri Chandubhai Chhaganbhai",BJP,Surendranagar,Gujarat
426,"Shinde, Dr. Shrikant Eknath",SS,Kalyan,Maharashtra
427,"Shinde, Ms. Praniti Sushilkumar",INC,Solapur (SC),Maharashtra
428,Shri Mohibbullah,SP,Rampur,Uttar Pradesh
429,"Sigriwal, Shri Janardan Singh",BJP,Maharajganj,Bihar
430,"Singh, Dr. Amar",INC,Fatehgarh Sahib (SC),Punjab
431,"Singh, Dr. Bhola",BJP,Bulandshahr (SC),Uttar Pradesh
432,"Singh, Dr. Jitendra",BJP,Udhampur,Jammu and Kashmir
433,"Singh, Shri Amritpal",Ind.,Khadoor Sahib,Punjab
434,"Singh, Shri Devendra Singh Alias Bhole",BJP,Akbarpur,Uttar Pradesh
435,"Singh, Shri Dharambir",BJP,Bhiwani-Mahendragarh,Haryana
436,"Singh, Shri Dushyant",BJP,Jhalawar-Baran,Rajasthan
437,"Singh, Shri Ganesh",BJP,Satna,Madhya Pradesh
438,"Singh, Shri Giriraj",BJP,Begusarai,Bihar
439,"Singh, Shri Kali Charan",BJP,Chatra,Jharkhand
440,"Singh, Shri Karan Bhushan",BJP,Kaiserganj,Uttar Pradesh
441,"Singh, Shri Kirti Vardhan",BJP,Gonda,Uttar Pradesh
442,"Singh, Shri Pradeep Kumar",BJP,Araria,Bihar
443,"Singh, Shri Radha Mohan",BJP,Purvi Champaran,Bihar
444,"Singh, Shri Raja Ram",CPI(ML)(L),Karakat,Bihar
445,"Singh, Shri Rajiv Ranjan",JD(U),Munger,Bihar
446,"Singh, Shri Rajnath",BJP,Lucknow,Uttar Pradesh
447,"Singh, Shri Rao Inderjit",BJP,Gurgaon,Haryana
448,"Singh, Shri Rao Rajendra",BJP,Jaipur Rural,Rajasthan
449,"Singh, Shri Sudhakar",RJD,Buxar,Bihar
450,"Singh, Shri Ujjwal Raman",INC,Allahabad,Uttar Pradesh
451,"Singh, Shri Virendra",SP,Chandauli,Uttar Pradesh
452,"Singh, Smt. Himadri",BJP,Shahdol (ST),Madhya Pradesh
453,"Sinha, Shri Abhay Kumar",RJD,Aurangabad,Bihar
454,"Sinha, Shri Shatrughan Prasad",AITC,Asansol,West Bengal
455,"Sivanath, Shri Kesineni",TDP,Vijayawada,Andhra Pradesh
456,Smt. Shambhavi,LJSP(RV),Samastipur (SC),Bihar
457,"Solanky, Shri Mahendra Singh",BJP,Dewas (SC),Madhya Pradesh
458,"Somanna, Shri V",BJP,Tumkur,Karnataka
459,"Sonowal, Shri Sarbananda",BJP,Dibrugarh,Assam
460,"Sonwane, Shri Bajrang Manohar",NCPSP,Beed,Maharashtra
461,"Soren, Shri Nalin",JMM,Dumka (ST),Jharkhand
462,"Soumendu, Shri Adhikari",BJP,Kanthi,West Bengal
463,"Sreekandan, Shri V K",INC,Palakkad,Kerala
464,"Srikumar, Dr. Rani",DMK,Tenkasi (SC),Tamil Nadu
465,"Srinivas, Shri Tangella Uday",JSP,Kakinada,Andhra Pradesh
466,"Subba, Dr. Indra Hang",SKM,Sikkim,Sikkim
467,"Subhadarshini, Smt. Anita",BJP,Aska,Odisha
468,"Sudhakar, Dr. K",BJP,Chikkballapur,Karnataka
469,"Sudhakaran, Shri K",INC,Kannur,Kerala
470,"Suklabaidya, Shri Parimal",BJP,Silchar (SC),Assam
471,"Sule, Smt. Supriya",NCPSP,Baramati,Maharashtra
472,"Suman, Dr. Alok Kumar",JD(U),Gopalganj (SC),Bihar
473,"Suresh, Shri Kodikunnil",INC,Mavelikkara (SC),Kerala
474,"Suresh, Smt. Dhanorkar Pratibha",INC,Chandrapur,Maharashtra
475,"Surya, Shri Tejasvi",BJP,Bangalore South,Karnataka
476,"Sutariya, Shri Bharatbhai Manubhai",BJP,Amreli,Gujarat
477,"Swaraj, Ms. Bansuri",BJP,New Delhi,NCT of Delhi
478,"Tamilselvan, Thiru Thanga",DMK,Theni,Tamil Nadu
479,"Tamta, Shri Ajay",BJP,Almora (SC),Uttarakhand
480,"Tanwar, Shri Kanwar Singh",BJP,Amroha,Uttar Pradesh
481,"Tarai, Shri Bibhu Prasad",BJP,Jagatsinghpur (SC),Odisha
482,"Tasa, Shri Kamakhya Prasad",BJP,Kaziranga,Assam
483,"Tenneti, Shri Krishna Prasad",TDP,Bapatla (SC),Andhra Pradesh
484,"Tewari, Shri Manish",INC,Chandigarh,Chandigarh
485,"Thakor, Smt. Geniben Nagaji",INC,Banaskantha,Gujarat
486,"Thakur, Shri Anurag Singh",BJP,Hamirpur,Himachal Pradesh
487,"Thakur, Shri Devesh Chandra",JD(U),Sitamarhi,Bihar
488,"Thakur, Shri Gopal Jee",BJP,Darbhanga,Bihar
489,"Thakur, Shri Shantanu",BJP,Bangaon (SC),West Bengal
490,"Thakur, Shri Vivek",BJP,Nawada,Bihar
491,"Thakur, Smt. Savitri",BJP,Dhar (ST),Madhya Pradesh
492,"Thangapandian, Dr. T Sumathy Alias Thamizhachi",DMK,Chennai South,Tamil Nadu
493,"Tharoor, Dr. Shashi",INC,Thiruvananthapuram,Kerala
494,"Tholkappiyan, Dr. Thirumaavalavan",VCK,Chidambaram (SC),Tamil Nadu
495,"Tigga, Shri Manoj",BJP,Alipurduars (ST),West Bengal
496,"Tisso, Shri Amarsing",BJP,Diphu (ST),Assam
497,"Tiwari, Shri Manoj",BJP,North East Delhi,NCT of Delhi
498,"Tomar, Shri Shivmangal Singh",BJP,Morena,Madhya Pradesh
499,"Tukaram, Shri E",INC,Bellary (ST),Karnataka
500,"Uikey, Shri Durgadas D D",BJP,Betul (ST),Madhya Pradesh
501,"Ulaka, Shri Saptagiri Sankar",INC,Koraput (ST),Odisha
502,"Unnithan, Shri Rajmohan",INC,Kasaragod,Kerala
503,"V, Com. Selvaraj",CPI,Nagapattinam (SC),Tamil Nadu
504,"Vadra, Smt. Priyanka Gandhi",INC,Wayanad,Kerala
505,"Vaiko, Shri Durai",MDMK,Tiruchirappalli,Tamil Nadu
506,"Vaithilingam, Shri Ve",INC,Puducherry,Puducherry
507,"Vallabhaneni, Shri Balashowry",JSP,Machilipatnam,Andhra Pradesh
508,"Valmiki, Shri Anoop Pradhan",BJP,Hathras (SC),Uttar Pradesh
509,"Vanlalhmangaiha, Shri Richard",ZPM,Mizoram (ST),Mizoram
510,"Vasanth, Shri Vijayakumar Alias Vijay",INC,Kanniyakumari,Tamil Nadu
511,"Vasantrao, Shri Chavan Ravindra",INC,Nanded,Maharashtra
512,"Vasava, Shri Mansukhbhai Dhanjibhai",BJP,Bharuch,Gujarat
513,"Vasava, Shri Parbhubhai Nagarbhai",BJP,Bardoli (ST),Gujarat
514,"Veeraswamy, Dr. Kalanidhi",DMK,Chennai North,Tamil Nadu
515,"Vemireddy, Shri Prabhakar Reddy",TDP,Nellore,Andhra Pradesh
